OECID,FacilityName,OECID_Name,Date,Electricity Cost ($),Electricity Demand (KW),Electricity Usage (KWH),Gas (Therms),Gas Cost ($),Steam (mlbs),Steam Cost ($),Total Cost ($),Total Usage (mmBTUs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 10/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 9/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 8/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 7/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 6/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 5/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 4/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 3/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 2/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 1/1/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 12/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 11/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 10/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 9/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 8/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67th Street Branch Library,0100593 67th Street Branch Library, 7/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/22,3461.82,46.4,20320,,,,,3461.82,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/22,3666.54,46.4,22080,,,,,3666.54,75.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/22,4194.15,48,21920,,,,,4194.15,74.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/22,3915.71,46.4,22080,,,,,3915.71,75.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/22,3460.6,49.6,20640,,,,,3460.6,70.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/22,3663.13,51.2,21760,,,,,3663.13,74.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/22,3622.28,49.6,21440,,,,,3622.28,73.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/22,3494.81,51.2,18080,,,,,3494.81,61.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/22,3644.05,46.4,16320,,,,,3644.05,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/22,4417.58,49.6,18400,,,,,4417.58,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/22,3632.13,51.2,21440,,,,,3632.13,73.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/22,3605.1,49.6,19520,,,,,3605.1,66.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/21,3604.94,49.6,21600,,,,,3604.94,73.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/21,3208.92,52.8,19840,,,,,3208.92,67.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/21,3211.06,51.2,20160,,,,,3211.06,68.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/21,2964.28,48,19040,,,,,2964.28,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/21,2886.94,48,19040,,,,,2886.94,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/21,3174.61,48,20800,,,,,3174.61,70.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/21,2916.91,46.4,19360,,,,,2916.91,66.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/21,2601.41,44.8,17760,,,,,2601.41,60.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/21,3246.18,54.4,17440,,,,,3246.18,59.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/21,2951.09,51.2,17760,,,,,2951.09,60.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/21,3135.22,51.2,21120,,,,,3135.22,72.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/21,2966.76,52.8,20160,,,,,2966.76,68.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/20,2765.07,46.4,20960,,,,,2765.07,71.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/20,2505.26,46.4,18720,,,,,2505.26,63.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/20,2638.06,43.2,20480,,,,,2638.06,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/20,2872.8,48,20480,,,,,2872.8,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/20,2844.42,48,19680,,,,,2844.42,67.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/20,3596.94,56,20960,,,,,3596.94,71.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/20,3181.34,56,19040,,,,,3181.34,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/20,3262.28,56,19840,,,,,3262.28,67.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/20,3277.96,56,20320,,,,,3277.96,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/20,3173.26,56,19040,,,,,3173.26,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/20,3144.52,56,23200,,,,,3144.52,79.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/20,3137.73,56,24320,,,,,3137.73,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/19,3213.58,57.6,24800,,,,,3213.58,84.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/19,3118.29,60.8,24160,,,,,3118.29,82.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/19,3127.98,60.8,23360,,,,,3127.98,79.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/19,3226.13,56,23840,,,,,3226.13,81.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/19,4948.94,104,26720,,,,,4948.94,91.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/19,3293,56,25120,,,,,3293,85.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/19,3360.41,59.2,23360,,,,,3360.41,79.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/19,3663.6,57.6,25600,,,,,3663.6,87.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/19,2910.77,54.4,23360,,,,,2910.77,79.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/19,5381.73,115.2,23360,,,,,5381.73,79.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/19,3470.94,59.2,24160,,,,,3470.94,82.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/19,3909.33,59.2,25280,,,,,3909.33,86.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/18,3339.54,56,22240,,,,,3339.54,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/18,3587.81,60.8,25280,,,,,3587.81,86.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/18,3326.81,54.4,22720,,,,,3326.81,77.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/18,3470.61,54.4,25600,,,,,3470.61,87.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/18,3636.44,56,33280,,,,,3636.44,113.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/18,3360.49,56,29120,,,,,3360.49,99.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/18,3741.57,57.6,30880,,,,,3741.57,105.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/18,3100.97,54.4,20480,,,,,3100.97,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/18,2800.34,51.2,20640,,,,,2800.34,70.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/18,3887,52.8,20160,,,,,3887,68.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/18,3454.14,52.8,22560,,,,,3454.14,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/18,3155.31,57.6,21760,,,,,3155.31,74.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/17,3427.89,54.4,25280,,,,,3427.89,86.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/17,3212.63,57.6,20960,,,,,3212.63,71.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/17,3118.29,60.8,21600,,,,,3118.29,73.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/17,3616.06,57.6,28000,,,,,3616.06,95.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 8/1/17,3348.84,60.8,24320,,,,,3348.84,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 7/1/17,3983.32,68.8,25920,,,,,3983.32,88.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 6/1/17,3642.32,60.8,24960,,,,,3642.32,85.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 5/1/17,3284.32,62.4,19520,,,,,3284.32,66.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 4/1/17,3241.14,60.8,19840,,,,,3241.14,67.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 3/1/17,3551.44,68.8,20320,,,,,3551.44,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 2/1/17,3644.49,62.4,21920,,,,,3644.49,74.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 1/1/17,3610.29,70.4,22240,,,,,3610.29,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 12/1/16,3000.11,57.6,22880,,,,,3000.11,78.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 11/1/16,2757.33,54.4,25440,,,,,2757.33,86.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 10/1/16,3047.78,59.2,25280,,,,,3047.78,86.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53rd St Branch Librbary,0100594 53rd St Branch Librbary, 9/1/16,3272.12,60.8,24320,,,,,3272.12,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
